,d1,d2,plane_height,pass_height,cloud_height1,cloud_height2,cloud above plane height1,cloud above plane height1,roll,pitch,pixel height,x_target,pass_number,camera,timestamp,cloud_above_plane_height,pixel_height
88,2375.1142663924634,8076.644093284229,5217.6045,5191.106,5186.939587005586,5113.313458874052,,,0.48726928,2.6284435,,380,99,173506,2022-07-23 17:34:49,-77.79249815719777,278.0
89,5197.494425474475,10883.47138483401,5186.4766,5191.106,5042.528477333174,4885.055671550911,,,-0.8327102,2.6284435,,380,99,173506,2022-07-23 17:34:29,-306.05028548033897,255.0
90,5338.585915077821,11024.222556008735,5186.1147,5191.106,5209.822414028193,5235.083483908165,,,-0.9654733,2.6284435,,380,99,173506,2022-07-23 17:34:28,43.97752687691536,305.0
91,5056.027433623058,10742.406158566406,5186.9526,5191.106,5105.41561532981,5013.719162193482,,,-0.31422967,2.6284435,,380,99,173506,2022-07-23 17:34:30,-177.38679483776832,273.0
92,1257.5753921723606,6968.46897959487,5235.797,5191.106,5408.697949495252,6193.886037037365,,,2.7276478,2.6284435,,380,99,173506,2022-07-23 17:34:57,1002.780080006115,512.0
93,1676.0936817868355,7383.50795256678,5229.168,5191.106,5415.441050616266,6049.749755102496,,,1.697629,2.6284435,,380,99,173506,2022-07-23 17:34:54,858.6437980712462,471.0
94,3642.34664734027,9334.139899576747,5193.887,5191.106,5085.98594187339,4917.378052899085,,,-3.0401495,2.6284435,,380,99,173506,2022-07-23 17:34:40,-273.72790413216535,252.0
95,838.7358490898905,6553.1009663918,5240.369,5191.106,5359.462938055154,6170.840136463536,,,2.0352762,2.6284435,,363,99,173506,2022-07-23 17:35:00,979.7341794322856,519.0
96,1955.3837403088573,7660.453262933609,5226.0244,5191.106,5419.464158050887,5983.834871996894,,,2.2013896,2.6284435,,380,99,173506,2022-07-23 17:34:52,792.7289149656444,452.0
97,1117.9584448030448,6830.02813326926,5237.3975,5191.106,5403.318247585987,6251.08451292237,,,2.7671661,2.6284435,,380,99,173506,2022-07-23 17:34:58,1059.9785558911199,529.0
98,4632.389584616763,10319.930038402494,5187.029,5191.106,5502.36674131847,5889.543195002011,,,-1.3027087,2.6284435,,381,99,173506,2022-07-23 17:34:33,698.4372379707611,404.0
99,4208.368393563391,9897.304638295096,5188.915,5191.106,5077.768890496253,4927.523963495869,,,-3.7649505,2.6284435,,380,99,173506,2022-07-23 17:34:36,-263.5819935353811,257.0
100,699.1271791484565,6414.611845967854,5241.341,5191.106,5301.512315786665,5793.446601710881,,,1.5656064,2.6284435,,373,99,173506,2022-07-23 17:35:01,602.3406446796307,432.0
