,flight_id,start_index,start_datetime,end_index,end_datetime,npasses,passes_start_index,passes_end_index,start_lon,start_lat,end_lon,end_lat,alt_pre,pressalt_pre,press_pre,alt,pressalt,press,alt_post,pressalt_post,press_post,nondT_pre,deicedT_pre,nondT_pre_n,deicedT_pre_n,nondT_pre_err,deicedT_pre_err,nondT_post,deicedT_post,nondT_post_n,deicedT_post_n,nondT_post_err,deicedT_post_err
33,c299,13625,2022-07-20 18:01:07,13628,2022-07-20 18:01:10,1.0,[13625],[13628],-107.118546,34.117695,-107.11553,34.114964,2139.0576,2011.9224,793.7762,2127.024,2003.0958,794.647,2118.7903,1997.1427,795.2752,300.0468,300.58636,15,15,0.03782234922795648,0.021819475951917276,300.066,300.67816,14,14,0.019532372388807763,0.016966362172180414
34,c299,14990,2022-07-20 18:23:52,15051,2022-07-20 18:24:53,2.0,[14990 15036],[15014 15051],-107.43235,33.53627,-107.46047,33.46045,4841.3804,4495.7744,577.6052,4844.8965,4497.305,577.48865,4971.431,4619.6787,568.16797,275.8833,276.462,15,15,0.03258385099410636,0.04799466507881485,275.4744,276.31873,15,15,0.05848934064026922,0.06145177193904104
35,c299,15228,2022-07-20 18:27:50,15253,2022-07-20 18:28:15,1.0,[15228],[15253],-107.457466,33.524746,-107.42902,33.54645,5135.4536,4770.306,556.98804,5148.6733,4783.893,555.98285,5150.2856,4788.895,555.69885,273.8657,274.61493,14,14,0.03858529125991276,0.031043589776771345,273.4071,273.8555,15,15,0.0402816785338065,0.031223790039556186
36,c299,15457,2022-07-20 18:31:39,15504,2022-07-20 18:32:26,1.0,[15457],[15504],-107.4454,33.53727,-107.50632,33.490784,6496.1694,6039.3926,469.26736,6492.7295,6035.8784,469.4937,6672.7686,6201.322,458.8695,264.56467,265.00992,15,15,0.008481209537366198,0.005280592367689155,263.25262,264.035,15,15,0.07204906704099807,0.06162431527712528
37,c299,15702,2022-07-20 18:35:44,15760,2022-07-20 18:36:42,1.0,[15702],[15760],-107.50383,33.479095,-107.442406,33.54487,7780.852,7245.4956,396.6124,7789.21,7251.802,396.25806,7747.2046,7213.608,398.44693,255.83731,256.2701,15,15,0.013267986726616464,0.008922772317051082,255.96707,256.2556,15,15,0.03003414285216688,0.06498931820087521
38,c299,16013,2022-07-20 18:40:55,16060,2022-07-20 18:41:42,1.0,[16013],[16060],-107.46405,33.53125,-107.53699,33.492287,8603.236,8014.342,355.2601,8608.104,8018.659,355.03806,8732.012,8132.225,349.23615,250.89316,251.3152,15,15,0.025071465413123894,0.02276477267036708,249.88345,250.77666,15,15,0.04634587701389754,0.0355221163760404
39,c299,16274,2022-07-20 18:45:16,16307,2022-07-20 18:45:49,1.0,[16274],[16307],-107.547844,33.51605,-107.488686,33.50836,9167.304,8538.806,329.11078,9162.959,8536.0,329.24628,9126.833,8496.34,331.08243,246.41699,246.96677,15,15,0.021409992359163486,0.025314259583168176,246.49654,246.8242,15,15,0.06415890096465768,0.053742663637015096
40,c299,16529,2022-07-20 18:49:31,16537,2022-07-20 18:49:39,1.0,[16529],[16537],-107.50716,33.71837,-107.517204,33.72586,7568.8574,7044.435,408.04514,7572.841,7048.2524,407.82568,7552.5254,7030.8296,408.8925,256.58163,257.4569,15,15,0.012495935508298806,0.011660701248059473,256.75528,257.21652,15,15,0.02479428261631698,0.0683484460482024
41,c299,16695,2022-07-20 18:52:17,16704,2022-07-20 18:52:26,1.0,[16695],[16704],-107.51294,33.725655,-107.517044,33.712486,7662.8394,7128.055,403.25836,7670.7563,7135.5396,402.83215,7653.703,7120.5366,403.6915,256.01346,256.45596,15,15,0.026911001088616753,0.04084181532233462,256.5138,256.81638,15,15,0.10736378590913519,0.11609530371232407
42,c299,16773,2022-07-20 18:53:35,16783,2022-07-20 18:53:45,1.0,[16773],[16783],-107.57824,33.621445,-107.588486,33.60896,7640.8804,7108.2017,404.39075,7640.453,7110.0317,404.28622,7633.916,7102.4463,404.7321,256.59772,257.09995,15,15,0.06344610068079341,0.05072895334769814,257.28574,257.51474,15,15,0.04141329443260096,0.039829643920949634
43,c299,16953,2022-07-20 18:56:35,16959,2022-07-20 18:56:41,1.0,[16953],[16959],-107.59571,33.59926,-107.585266,33.598343,7777.0435,7234.4946,397.2313,7779.96,7236.409,397.1234,7749.0703,7211.807,398.54865,256.79684,257.26334,15,15,0.04059416950109905,0.022553839343712967,256.4724,256.99084,15,15,0.034274318628694685,0.08385972509397889
44,c299,17146,2022-07-20 18:59:48,17160,2022-07-20 19:00:02,1.0,[17146],[17160],-107.586784,33.61006,-107.60703,33.598476,7657.113,7123.6357,403.51086,7636.591,7105.174,404.56375,7607.2275,7079.0605,406.01706,256.64413,257.11243,15,15,0.12813548603450958,0.0908712883040307,256.79,257.41885,15,15,0.04664549821653123,0.06602370100775366
45,c299,17349,2022-07-20 19:03:11,17488,2022-07-20 19:05:30,3.0,[17349 17423 17486],[17410 17442 17488],-107.59876,33.49375,-107.44507,33.632393,7527.408,7006.183,410.25015,7529.3516,7008.8,410.0989,7299.432,6793.6523,422.69113,257.92432,258.32617,15,15,0.0531592804753722,0.028264673330396804,258.6498,259.0312,15,15,0.07274685067569535,0.060116529046353964
46,c299,17553,2022-07-20 19:06:35,17555,2022-07-20 19:06:37,1.0,[17553],[17555],-107.3775,33.697117,-107.37548,33.699093,6957.148,6472.461,442.03848,6902.123,6421.393,445.17877,6833.1494,6357.438,449.1406,260.6823,261.04114,15,15,0.06630032592238554,0.06729468741626501,261.53925,261.92493,15,15,0.05077384939666806,0.046777093002966924
47,c299,17724,2022-07-20 19:09:26,17776,2022-07-20 19:10:18,2.0,[17724 17765],[17755 17776],-107.17972,33.841778,-107.114655,33.881863,5621.6226,5220.412,524.4804,5559.0176,5161.731,528.6258,5294.599,4916.5356,546.25024,270.6442,270.90408,15,15,0.0828086827711145,0.08149907552623671,272.444,272.8767,15,15,0.054698627447398146,0.07420151498101224
48,c299,17963,2022-07-20 19:13:25,18009,2022-07-20 19:14:11,1.0,[17963],[18009],-107.14952,33.881863,-107.17898,33.82494,5242.3516,4868.24,549.7796,5268.348,4892.6304,547.99524,5321.7627,4942.435,544.5131,273.05563,273.42496,15,15,0.017773972198506748,0.018089920111552964,272.66983,272.89008,15,15,0.04981331479991289,0.06361828620479297
49,c299,18269,2022-07-20 19:18:31,18299,2022-07-20 19:19:01,1.0,[18269],[18299],-107.16715,33.835022,-107.169655,33.87614,7158.111,6660.977,430.58896,7151.959,6653.46,431.0407,7114.963,6622.8184,433.01303,258.7074,259.16458,15,15,0.020736532387298324,0.03797540901201007,259.19568,259.82623,15,15,0.03165318810222756,0.012195015786809408
50,c299,18586,2022-07-20 19:23:48,18615,2022-07-20 19:24:17,1.0,[18586],[18615],-107.171555,33.8687,-107.16163,33.828106,7856.46,7316.436,392.64108,7853.3467,7312.6284,392.8534,7848.6636,7308.246,393.14288,255.7938,256.22513,15,15,0.03990978658099277,0.03233373510144748,254.48956,255.20638,9,9,0.034956504901250206,0.09430010120073955
51,c299,18733,2022-07-20 19:26:15,18774,2022-07-20 19:26:56,2.0,[18733 18772],[18735 18774],-107.097115,33.67313,-107.05939,33.709003,8018.059,7473.467,383.9652,8030.0024,7484.669,383.35193,7996.4473,7454.374,385.09042,254.7568,255.54727,15,15,0.007730333795054897,0.009797569080293708,254.88197,255.6015,15,15,0.034193179475663006,0.027236992804545477
52,c299,18869,2022-07-20 19:28:31,18907,2022-07-20 19:29:09,2.0,[18869 18881],[18871 18907],-107.1481,33.81785,-107.18524,33.863358,8177.769,7617.5503,376.14102,8182.926,7621.219,375.9434,8186.713,7620.7393,375.96518,253.63528,254.23097,15,15,0.02717328843134988,0.018761900733788427,253.48087,253.0077,15,15,0.02839767628839159,0.06225769622404232
